Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Beef soup,1 cup,250,100,6,4,4,0.5,11.0,Soups
Bouillon,1 cup,240,24,5,0,0,0.0,0.0,Soups
Chicken soup,1 cup,250,75,4,2,2,0.0,10.0,Soups
Clam chowder,1 cup,255,85,5,2,1,0.5,12.0,Soups
Cream soup,1 cup,255,200,7,12,11,1.2,18.0,Soups
Noodle soup,1 cup,250,115,6,4,3,0.2,13.0,Soups
Split-pea soup,1 cup,250,147,8,3,3,0.5,25.0,Soups
Tomato soup,1 cup,245,175,6,7,6,0.5,22.0,Soups
Vegetable soup,1 cup,250,80,4,2,2,0.0,14.0,Soups
Apple betty,1 serving,100,150,1,4,0,0.5,29.0,"Desserts, sweets"
Bread pudding,3/4 cup,200,374,11,12,11,0.2,56.0,"Desserts, sweets"
Cake,1 slice,40,110,3,0,0,0.0,23.0,"Desserts, sweets"
Chocolate fudge cake,1 slice,120,420,5,14,12,0.3,70.0,"Desserts, sweets"
Cupcake,1,50,160,3,3,2,0.0,31.0,"Desserts, sweets"
Fruit cake,1 slice,30,105,2,4,3,0.2,17.0,"Desserts, sweets"
Gingerbread,1 slice,55,180,2,7,6,0.0,28.0,"Desserts, sweets"
"Plain cake, no icing",1 slice,55,180,4,5,4,0.0,31.0,"Desserts, sweets"
Sponge cake,1 slice,40,115,3,2,2,0.0,22.0,"Desserts, sweets"
Candy,5 pieces,25,104,0,3,3,0.0,19.0,"Desserts, sweets"
Chocolate creams,2,30,130,0,4,4,0.0,24.0,"Desserts, sweets"
Fudge,2 pieces,90,370,0,12,11,0.1,80.0,"Desserts, sweets"
Hard candies,1 oz.,28,90,0,0,0,0.0,28.0,"Desserts, sweets"
Marshmallows,5,30,98,1,0,0,0.0,23.0,"Desserts, sweets"
Milk chocolate,2-oz. bar,56,290,2,6,6,0.2,44.0,"Desserts, sweets"
Chocolate syrup,2 T.,40,80,0,0,0,0.0,22.0,"Desserts, sweets"
Doughnuts,1,33,135,2,7,4,0.0,17.0,"Desserts, sweets"
"Gelatin, made with water",1 cup,239,155,4,0,0,0.0,36.0,"Desserts, sweets"
Honey,2 T.,42,120,0,0,0,0.0,30.0,"Jams, Jellies"
Ice cream,2 cups,300,400,12,24,14,0.0,36.0,"Desserts, sweets"
Ices,1 cup,150,117,0,0,0,0.0,48.0,"Desserts, sweets"
Preserves,1 T.,20,55,0,0,0,0.0,14.0,"Jams, Jellies"
Jellies,1 T.,20,50,0,0,0,0.0,13.0,"Jams, Jellies"
Molasses,1 T.,20,45,0,0,0,0.0,11.0,"Jams, Jellies"
Cane syrup,1 T.,20,50,0,0,0,0.0,13.0,"Jams, Jellies"
"Pie, 9-inch diameter",1 slice,135,330,3,13,11,0.1,53.0,"Desserts, sweets"
Cherry pie,1 slice,135,340,3,13,11,0.1,55.0,"Desserts, sweets"
Custard pie,1 slice,130,265,7,11,10,0.0,34.0,"Desserts, sweets"
Lemon meringue pie,1 slice,120,300,4,12,10,0.1,45.0,"Desserts, sweets"
Mince pie,1 slice,135,340,3,9,8,0.7,62.0,"Desserts, sweets"
Pumpkin pie,1 slice,130,265,5,12,11,0.0,34.0,"Desserts, sweets"
"Puddings, sugar",1 cup,200,770,0,0,0,0.0,199.0,"Desserts, sweets"
"Sugar, 3 teaspoons",1 T.,12,50,0,0,0,0.0,12.0,"Desserts, sweets"
"Brown sugar, firm-packed, dark",1 cup,220,815,0,0,0,0.0,210.0,"Jams, Jellies"
Syrup,2 T.,40,100,0,0,0,0.0,25.0,"Jams, Jellies"
Table blends sugar,2 T.,40,110,0,0,0,0.0,29.0,"Jams, Jellies"
Tapioca cream pudding,1 cup,250,335,10,10,9,0.0,42.0,"Desserts, sweets"
Almonds,1/2 cup,70,425,13,38,28,1.8,13.0,Seeds and Nuts
"Almonds, roasted and salted",1/2 cup,70,439,13,40,31,1.8,13.0,Seeds and Nuts
Brazil nuts,1/2 cup,70,457,10,47,31,2.0,7.0,Seeds and Nuts
Cashews,1/2 cup,70,392,12,32,28,0.9,20.0,Seeds and Nuts
"Coconut, sweetened",1/2 cup,50,274,1,20,19,2.0,26.0,Seeds and Nuts
Peanut butter,1/3 cup,50,300,12,25,17,0.9,9.0,Seeds and Nuts
"Peanut butter, natural",1/3 cup,50,284,13,24,10,0.9,8.0,Seeds and Nuts
Peanuts,1/3 cup,50,290,13,25,16,1.2,9.0,Seeds and Nuts
Pecans,1/2 cup,52,343,5,35,25,1.1,7.0,Seeds and Nuts
Sesame seeds,1/2 cup,50,280,9,24,13,3.1,10.0,Seeds and Nuts
Sunflower seeds,1/2 cup,50,280,12,26,7,1.9,10.0,Seeds and Nuts
Walnuts,1/2 cup,50,325,7,32,7,1.0,8.0,Seeds and Nuts
Beer,2 cups,480,228,0,0,0,0.0,8.0,"Drinks,Alcohol, Beverages"
Gin,1 oz.,28,70,0,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Wines,1/2 cup,120,164,0,0,0,0.0,9.0,"Drinks,Alcohol, Beverages"
"Table wine, 12.2% alcohol",1/2 cup,120,100,0,0,0,0.0,5.0,"Drinks,Alcohol, Beverages"
"Carbonated drinks, artificially sweetened",12 oz.,346,0,0,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Club soda,12 oz.,346,0,0,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Cola drinks,12 oz.,346,137,0,0,0,0.0,38.0,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,12 oz.,346,161,0,0,0,0.0,42.0,"Drinks,Alcohol, Beverages"
Ginger ale,12 oz.,346,105,0,0,0,0.0,28.0,"Drinks,Alcohol, Beverages"
